,year,team,week_1,win_pct_1,home_team_1,opp_1,opp_win_pct_1,result_1,pf_1,pa_1,yds_1,opp_yds_1,week_2,win_pct_2,home_team_2,opp_2,opp_win_pct_2,result_2,pf_2,pa_2,yds_2,opp_yds_2
0,2015.0,New England Patriots,8.0,1.0,1.0,Miami Dolphins,0.5,1.0,36.0,7.0,437.0,270.0,9.0,1.0,1.0,Washington Redskins,0.42857142857142855,1.0,27.0,10.0,460.0,250.0
1,2015.0,New York Jets,10.0,0.625,1.0,Buffalo Bills,0.5,0.0,17.0,22.0,318.0,280.0,11.0,0.5555555555555556,0.0,Houston Texans,0.4444444444444444,0.0,17.0,24.0,267.0,364.0
2,2015.0,Buffalo Bills,10.0,0.5,0.0,New York Jets,0.625,1.0,22.0,17.0,280.0,318.0,11.0,0.5555555555555556,0.0,New England Patriots,1.0,0.0,13.0,20.0,319.0,356.0
3,2015.0,Miami Dolphins,8.0,0.5,0.0,New England Patriots,1.0,0.0,7.0,36.0,270.0,437.0,9.0,0.42857142857142855,0.0,Buffalo Bills,0.42857142857142855,0.0,17.0,33.0,397.0,420.0
4,2015.0,Cincinnati Bengals,9.0,1.0,1.0,Cleveland Browns,0.25,1.0,31.0,10.0,371.0,213.0,10.0,1.0,1.0,Houston Texans,0.375,0.0,6.0,10.0,256.0,256.0
5,2015.0,Pittsburgh Steelers,4.0,0.6666666666666666,1.0,Baltimore Ravens,0.0,0.0,20.0,23.0,263.0,356.0,5.0,0.5,0.0,San Diego Chargers,0.5,1.0,24.0,20.0,349.0,406.0
6,2015.0,Baltimore Ravens,4.0,0.0,0.0,Pittsburgh Steelers,0.6666666666666666,1.0,23.0,20.0,356.0,263.0,5.0,0.25,1.0,Cleveland Browns,0.25,0.0,30.0,33.0,377.0,505.0
7,2015.0,Cleveland Browns,9.0,0.25,0.0,Cincinnati Bengals,1.0,0.0,10.0,31.0,213.0,371.0,10.0,0.2222222222222222,0.0,Pittsburgh Steelers,0.5555555555555556,0.0,9.0,30.0,342.0,459.0
8,2015.0,Houston Texans,5.0,0.25,1.0,Indianapolis Colts,0.5,0.0,20.0,27.0,444.0,323.0,6.0,0.2,0.0,Jacksonville Jaguars,0.2,1.0,31.0,20.0,382.0,394.0
9,2015.0,Indianapolis Colts,5.0,0.5,0.0,Houston Texans,0.25,1.0,27.0,20.0,323.0,444.0,6.0,0.6,1.0,New England Patriots,1.0,0.0,27.0,34.0,409.0,417.0
10,2015.0,Jacksonville Jaguars,11.0,0.3333333333333333,1.0,Tennessee Titans,0.2222222222222222,1.0,19.0,13.0,308.0,316.0,12.0,0.4,1.0,San Diego Chargers,0.2,0.0,25.0,31.0,420.0,369.0
11,2015.0,Tennessee Titans,11.0,0.2222222222222222,0.0,Jacksonville Jaguars,0.3333333333333333,0.0,13.0,19.0,316.0,308.0,12.0,0.2,1.0,Oakland Raiders,0.4,0.0,21.0,24.0,249.0,407.0
12,2015.0,Denver Broncos,2.0,1.0,0.0,Kansas City Chiefs,1.0,1.0,31.0,24.0,299.0,314.0,3.0,1.0,0.0,Detroit Lions,0.0,1.0,24.0,12.0,354.0,290.0
13,2015.0,Kansas City Chiefs,2.0,1.0,1.0,Denver Broncos,1.0,0.0,24.0,31.0,314.0,299.0,3.0,0.5,0.0,Green Bay Packers,1.0,0.0,28.0,38.0,326.0,448.0
14,2015.0,Washington Redskins,3.0,0.5,0.0,New York Giants,0.0,0.0,21.0,32.0,393.0,363.0,4.0,0.3333333333333333,1.0,Philadelphia Eagles,0.3333333333333333,1.0,23.0,20.0,417.0,320.0
